case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
10,1000010,0.023159209638834,True,,,-0.32032907364055097,0.32032907364055097,0.025345932724247896,0.003176670706135903,0.025146074621834685,0.9842917486896265,0.04870615348764665,0.004520960487014292,0.04849587924594263,0.991384236749401,0.007147104032807451,0.005251145715617423,0.004848356910245502,0.4601812910094927,251,0.9110158850372985,0.9062970973249858,-0.00196551457906324,-0.001964690311225144,-0.08711256779096951,0.08514787747974441,8.242678380958497e-07,0.00013433477208537556,4.768609119109186e-09,0.9998778574147377,,,,,,,,,,,,,,,,,,,,
11,1000011,0.011286163702607155,True,,120.0,-2.133406116008173,2.133406116008173,0.3620446552773992,0.01228877147876235,0.3618360381588235,0.9988478934245796,0.6675793814394949,0.023257659424699144,0.6671741240495043,0.9987862585499329,0.06283629591535811,0.017532699259349298,0.060340736994535155,0.9221468096568479,251,0.9518072858667939,0.944009865300702,-0.013090415978857054,-0.013058130103708888,0.0799246586544756,-0.09298278875818446,3.2285875148165694e-05,0.005261779580803429,7.926026415252088e-09,0.9996598865830998,156.0,,156.0,True,36.0,,,,,,,,,,,,,,,
12,1000012,0.1430688202381134,True,,,-0.5367353546975702,0.5367353546975702,0.006602349417450183,0.001994996227073579,0.0062937276620510805,0.908696558507768,0.012939173801332332,0.0038200747053673705,0.012362412705717982,0.9128373111329485,0.004588478286257438,0.0016427033608415835,0.004284350435216027,0.8718316097917377,251,0.952463003498309,0.9238505027509012,-0.0032933668891402313,-0.0032935582518436265,-0.19300982059153052,0.18971626233968694,-1.9136270339517591e-07,-3.118727185282096e-05,3.02319013112507e-08,0.9999985522234712,,,,,,,,,,,,,,,,,,,,
13,1000013,0.21866966784000397,True,,,0.5770191600822079,0.6034322949804342,0.005851363536691891,0.0032843778064543124,0.004842656054583868,0.6849408800607564,0.011693671556220395,0.005678900603282906,0.010222134923918338,0.7641549575022447,0.005306269672801321,0.003911295050328508,0.0035858428395241686,0.45667145618073457,251,0.9701403331585271,0.9259115917283249,0.0035405452232320648,0.003550062630827792,0.15829522726410952,-0.15474516463328183,9.517407595727254e-06,0.001551096283423072,6.503782462837172e-08,0.9994932922297509,,,,,,,,,,,,,,,,,,,,
14,1000014,0.17760057747364044,True,,114.4000015258789,2.314370006438236,2.314370006438236,0.02832437581763115,0.005103967961542471,0.027860721033490073,0.9675290359445553,0.05808350931553905,0.007236481827418109,0.057630958565425223,0.9844779436445558,0.022653352122316943,0.006316986591014227,0.02175477057536181,0.9222402315537245,251,0.9008398359283862,0.8553185353822804,0.014200796503740086,0.014116616588612917,0.1716847168732646,-0.15756810028465176,-8.417991512716869e-05,-0.013719193191982195,4.928102845589703e-08,0.9965025016823843,,,,,,,,,,,,,,,,,,,,
15,1000015,0.03204395994544029,True,,,-0.4081309607529482,0.5855371983227601,0.042688164344753185,0.03689249637061179,0.021476105016251263,0.2531022920881721,0.08726939355539048,0.06760408957208987,0.05518726415265102,0.3999022188638216,0.010440523913021417,0.009527238092147445,0.004270395053611173,0.16729829770800755,251,-0.5783442596550227,-0.42095769303737424,-0.0025042602109453245,-0.006520252343885148,-0.06502654717352091,0.05850629482963575,-0.0040159921329398236,-0.6545049593605499,1.9202179745362212e-08,0.9754275120785194,,,,,,,,,,,,,,,,,,,,
16,1000016,0.03433812037110329,True,,80.80000305175781,5.210751811218721,5.210751811218721,0.33674756491835467,0.011257895916537176,0.3365593294769496,0.9988823507516865,0.6409982796556072,0.01909089509556719,0.6407139238739065,0.9991129688842315,0.0922477852248322,0.009177929338136987,0.09179008384325038,0.9901013145617087,251,0.9977990898186132,0.997236956934168,0.0319727726753993,0.03202437587603933,0.38843037798913455,-0.3564060021130953,5.1603200640029656e-05,0.008410014168292942,1.1520920559305337e-08,1.0,169.60000610351562,,170.39999389648438,True,88.80000305175781,,,,,,,,,,,,,,,
17,1000017,0.0589042603969574,True,,163.1999969482422,-1.0348692084094138,1.2405473626348484,0.03990293469840622,0.016332126132767744,0.036407497215939416,0.8324764854361787,0.08015505261670623,0.01945898383231093,0.07775718878792369,0.9410642916925327,0.012066214534556892,0.008082480237799344,0.008959187820306875,0.5513091456651962,251,0.7362802298870645,0.7236577499525707,-0.00634987793469785,-0.006758497732518191,-0.10956724814491557,0.1028087504123974,-0.00040861979782034086,-0.06659467332435777,2.7414437888221738e-08,0.9873666872859814,,,,,,,,,,,,,,,,,,,,
18,1000018,0.020388275384902954,True,,,0.3275126803444134,0.33465985441823515,0.039614843571034467,0.026589385970502904,0.029365632716990005,0.5494938481287959,0.07956124873907026,0.03865383574781825,0.06954044350520708,0.7639619533499105,0.018518871794423658,0.018147092734521527,0.003692104795773841,0.03974833932723324,251,-0.29989196529285017,-0.10819578827546956,0.0020095926377490456,-0.00028607530964659645,0.14215510690854566,-0.14244118221819213,-0.002295667947395642,-0.37413570716225697,9.45295948110928e-09,0.9970329128742595,,,,,,,,,,,,,,,,,,,,
19,1000019,0.09969567507505417,True,,140.8000030517578,-2.5399601993293324,2.6988920159744447,0.05172483732559408,0.010548815616949987,0.05063774565913023,0.9584080640405164,0.13336773233917537,0.021830086732348555,0.13156899080920267,0.9732077375619493,0.05426457790619274,0.02845425797042596,0.04620605608239802,0.7250449689509225,251,0.8029944911435986,0.7520068298235628,-0.015585000591061517,-0.015734786285510456,-0.09799776957255138,0.08226298328704092,-0.00014978569444893883,-0.024411272884224903,4.992419274731745e-08,0.9873470129724213,,,,,,,,,,,,,,,,,,,,
