frame,time,predictor,target,n,pearson,spearman
200,160.0,abs_displacement_drift_grid_points,terminal_eta_raw,32,0.9118697289201315,0.6348973607038122
200,160.0,abs_displacement_drift_grid_points,terminal_eta_shape,32,0.8605126634694423,0.2694281524926686
200,160.0,abs_displacement_drift_grid_points,terminal_eta_translation,32,0.89248481674107,0.6590909090909091
200,160.0,eta_raw,terminal_eta_raw,32,0.9952030644431282,0.971041055718475
200,160.0,eta_raw,terminal_eta_shape,32,0.8440380593362967,0.7067448680351905
200,160.0,eta_raw,terminal_eta_translation,32,0.9843244710704494,0.939882697947214
200,160.0,eta_aligned,terminal_eta_raw,32,0.8130778274542154,0.6950146627565981
200,160.0,eta_aligned,terminal_eta_shape,32,0.9977765149440596,0.9816715542521994
200,160.0,eta_aligned,terminal_eta_translation,32,0.7541179596025975,0.5909090909090909
200,160.0,eta_translation,terminal_eta_raw,32,0.9960302784056834,0.9552785923753665
200,160.0,eta_translation,terminal_eta_shape,32,0.7959218468260139,0.5681818181818181
200,160.0,eta_translation,terminal_eta_translation,32,0.994099889443078,0.9578445747800585
200,160.0,q_raw,terminal_eta_raw,32,0.9988394807330123,0.9516129032258064
200,160.0,q_raw,terminal_eta_shape,32,0.8057023190517202,0.722507331378299
200,160.0,q_raw,terminal_eta_translation,32,0.9932359814381041,0.9153225806451611
200,160.0,q_aligned,terminal_eta_raw,32,0.797047458857892,0.5960410557184751
200,160.0,q_aligned,terminal_eta_shape,32,0.9941794526833733,0.9369501466275659
200,160.0,q_aligned,terminal_eta_translation,32,0.7318284239776057,0.4908357771260997
200,160.0,q_translation,terminal_eta_raw,32,0.9965993539676195,0.9523460410557184
200,160.0,q_translation,terminal_eta_shape,32,0.7717901182363958,0.6055718475073314
200,160.0,q_translation,terminal_eta_translation,32,0.9976841997484848,0.9435483870967741
200,160.0,xi_raw,terminal_eta_raw,32,0.9751771704432073,0.7675953079178884
200,160.0,xi_raw,terminal_eta_shape,32,0.8674999126869782,0.6983137829912023
200,160.0,xi_raw,terminal_eta_translation,32,0.9595231689314196,0.691715542521994
200,160.0,xi_aligned,terminal_eta_raw,32,0.8539140019536492,0.47397360703812313
200,160.0,xi_aligned,terminal_eta_shape,32,0.9565122223636473,0.7969208211143693
200,160.0,xi_aligned,terminal_eta_translation,32,0.8087750640602037,0.3640029325513196
200,160.0,xi_translation,terminal_eta_raw,32,0.9831031152114333,0.8139794288356624
200,160.0,xi_translation,terminal_eta_shape,32,0.7943920489963472,0.4006605978312118
200,160.0,xi_translation,terminal_eta_translation,32,0.9806904125937168,0.8220513456417856
200,160.0,abs_alignment_velocity_identity,terminal_eta_raw,32,0.004145251732004376,0.2598973607038123
